Employee Name,Department,Position,Leave Type,Start Date,End Date,Days Taken,Total Leave Entitlement,Leave Taken So Far,Remaining Leaves,month
Erik Pierce,Finance,Financial Analyst,Earned Leave,29/02/2024,4/03/2024,5,21,15,1,Feb
Jeffery Forbes,Marketing,Marketing Specialist,Maternity Leave,12/11/2024,19/11/2024,8,29,19,2,Nov
Steven Patterson,Operations,Operations Manager,Casual Leave,17/08/2024,21/08/2024,5,24,13,6,Aug
Heather Berry,Operations,Logistics Coordinator,Sick Leave,14/02/2024,16/02/2024,3,28,11,14,Feb
Anthony Johnson,IT,System Administrator,Casual Leave,29/06/2024,4/07/2024,6,22,8,8,Jun
Edward Morrison,HR,HR Manager,Sick Leave,17/05/2024,19/05/2024,3,26,17,6,May
Joseph Wheeler,Marketing,SEO Analyst,Maternity Leave,16/10/2024,18/10/2024,3,28,25,0,Oct
Brandon Price,Finance,Accountant,Sick Leave,17/10/2024,26/10/2024,10,20,10,0,Oct
Jeffrey Boyd,IT,System Administrator,Casual Leave,27/06/2024,6/07/2024,10,27,1,16,Jun
Justin Smith,Operations,Operations Manager,Paternity Leave,6/10/2024,12/10/2024,7,26,17,2,Oct
Lee Abbott,Marketing,Marketing Specialist,Maternity Leave,30/08/2024,8/09/2024,10,23,11,2,Aug
Carrie Anderson,Operations,Operations Manager,Earned Leave,25/12/2023,3/01/2024,10,23,6,7,Dec
Dr. Jacqueline Cooper,IT,Software Engineer,Sick Leave,17/05/2024,20/05/2024,4,23,13,6,May
Zachary Castillo,Finance,Financial Analyst,Sick Leave,6/07/2024,14/07/2024,9,24,2,13,Jul
Sonia Myers,Marketing,SEO Analyst,Maternity Leave,27/11/2024,6/12/2024,10,27,3,14,Nov
William Mercado,Marketing,Marketing Specialist,Sick Leave,12/12/2024,12/12/2024,1,24,2,21,Dec
Charles Harris,HR,HR Manager,Maternity Leave,1/05/2024,2/05/2024,2,30,8,20,May
Jessica Smith,IT,Software Engineer,Casual Leave,27/05/2024,27/05/2024,1,26,10,15,May
Andrew Jones,IT,Software Engineer,Earned Leave,16/11/2024,19/11/2024,4,30,3,23,Nov
Sandra Lara,Finance,Financial Analyst,Casual Leave,12/10/2024,14/10/2024,3,22,1,18,Oct
Samantha Fowler,IT,Software Engineer,Maternity Leave,12/10/2024,14/10/2024,3,25,20,2,Oct
Michael Edwards,HR,HR Manager,Earned Leave,14/05/2024,17/05/2024,4,25,6,15,May
Michael Dorsey,Operations,Operations Manager,Earned Leave,26/06/2024,30/06/2024,5,20,1,14,Jun
Kimberly Sanford,Operations,Logistics Coordinator,Sick Leave,25/12/2023,26/12/2023,2,21,0,19,Dec
Dustin Hensley,Marketing,SEO Analyst,Paternity Leave,27/11/2024,2/12/2024,6,22,13,3,Nov
Andrew Smith,Operations,Operations Manager,Maternity Leave,10/01/2024,10/01/2024,1,29,3,25,Jan
Jeffrey Sherman,Finance,Financial Analyst,Earned Leave,15/01/2024,18/01/2024,4,22,18,0,Jan
Joel Chandler,Operations,Operations Manager,Paternity Leave,13/07/2024,15/07/2024,3,30,13,14,Jul
Carlos Moore,HR,HR Manager,Casual Leave,11/12/2024,15/12/2024,5,21,9,7,Dec
Ivan Robertson,IT,System Administrator,Earned Leave,6/10/2024,6/10/2024,1,26,11,14,Oct
Donna Bowers,Finance,Financial Analyst,Sick Leave,22/06/2024,28/06/2024,7,20,0,13,Jun
Whitney Smith,IT,Software Engineer,Earned Leave,4/01/2024,10/01/2024,7,28,12,9,Jan
Nathan Palmer,HR,Recruiter,Paternity Leave,10/09/2024,12/09/2024,3,24,15,6,Sep
Danielle Watkins,Marketing,Marketing Specialist,Earned Leave,27/11/2024,4/12/2024,8,22,6,8,Nov
Christopher Frank,HR,HR Manager,Sick Leave,12/02/2024,15/02/2024,4,28,15,9,Feb
William Ward,Operations,Operations Manager,Casual Leave,29/09/2024,5/10/2024,7,30,22,1,Sep
Ryan Davis,Finance,Financial Analyst,Earned Leave,18/04/2024,25/04/2024,8,26,12,6,Apr
Diana Massey,Marketing,Marketing Specialist,Sick Leave,28/12/2023,1/01/2024,5,23,10,8,Dec
Terry Campbell,Finance,Accountant,Casual Leave,10/06/2024,14/06/2024,5,22,9,8,Jun
Holly Ward,Operations,Logistics Coordinator,Maternity Leave,6/02/2024,11/02/2024,6,23,17,0,Feb
Steven Barnes,Operations,Operations Manager,Casual Leave,8/06/2024,17/06/2024,10,30,2,18,Jun
Sandra Chen,Finance,Accountant,Maternity Leave,19/09/2024,25/09/2024,7,26,17,2,Sep
Rhonda Mills,HR,HR Manager,Casual Leave,16/05/2024,19/05/2024,4,24,13,7,May
David Richard,HR,HR Manager,Paternity Leave,29/02/2024,8/03/2024,9,22,1,12,Feb
Linda Reynolds,Finance,Accountant,Maternity Leave,23/03/2024,26/03/2024,4,20,7,9,Mar
Alan Hamilton,Operations,Logistics Coordinator,Casual Leave,12/11/2024,19/11/2024,8,24,9,7,Nov
Tammy Morris,Marketing,Marketing Specialist,Maternity Leave,9/10/2024,12/10/2024,4,24,18,2,Oct
Suzanne Green,Marketing,Marketing Specialist,Earned Leave,6/10/2024,8/10/2024,3,28,12,13,Oct
Michael Anderson,Marketing,SEO Analyst,Sick Leave,2/05/2024,6/05/2024,5,25,18,2,May
Jeffrey Walsh,Operations,Logistics Coordinator,Maternity Leave,21/07/2024,21/07/2024,1,26,25,0,Jul
Lisa Smith,Finance,Accountant,Paternity Leave,1/01/2024,3/01/2024,3,26,18,5,Jan
Kenneth Williamson,Finance,Financial Analyst,Casual Leave,16/11/2024,18/11/2024,3,23,13,7,Nov
Kimberly Perez,Marketing,Marketing Specialist,Maternity Leave,16/04/2024,19/04/2024,4,22,17,1,Apr
James Byrd,IT,System Administrator,Paternity Leave,27/10/2024,2/11/2024,7,27,11,9,Oct
Tracy Serrano,HR,Recruiter,Sick Leave,6/09/2024,9/09/2024,4,26,4,18,Sep
Marcus Jackson,IT,Software Engineer,Maternity Leave,4/05/2024,7/05/2024,4,25,4,17,May
Jasmine Burns,Operations,Logistics Coordinator,Casual Leave,28/08/2024,1/09/2024,5,23,15,3,Aug
Daniel Reed,Marketing,SEO Analyst,Sick Leave,24/10/2024,24/10/2024,1,21,0,20,Oct
Melissa Coleman,HR,Recruiter,Casual Leave,4/07/2024,11/07/2024,8,28,16,4,Jul
Amanda Mcdonald,Marketing,Marketing Specialist,Maternity Leave,1/05/2024,8/05/2024,8,25,9,8,May
Jessica Glover,Marketing,SEO Analyst,Casual Leave,19/07/2024,21/07/2024,3,30,17,10,Jul
Andrew Cole,Finance,Financial Analyst,Sick Leave,7/09/2024,9/09/2024,3,26,0,23,Sep
Patricia Banks,Finance,Financial Analyst,Maternity Leave,8/12/2024,10/12/2024,3,23,7,13,Dec
Joshua Phillips,Finance,Financial Analyst,Casual Leave,13/08/2024,17/08/2024,5,23,15,3,Aug
Charles Sanchez,IT,Software Engineer,Maternity Leave,5/10/2024,8/10/2024,4,25,0,21,Oct
Melissa Bentley,IT,System Administrator,Earned Leave,9/08/2024,18/08/2024,10,24,8,6,Aug
Bethany Thompson,Finance,Financial Analyst,Casual Leave,4/08/2024,13/08/2024,10,20,1,9,Aug
Beth Taylor,Marketing,Marketing Specialist,Casual Leave,15/01/2024,18/01/2024,4,22,9,9,Jan
Julia Contreras,HR,Recruiter,Sick Leave,7/07/2024,14/07/2024,8,21,12,1,Jul
Elizabeth Espinoza,Finance,Accountant,Casual Leave,16/07/2024,18/07/2024,3,30,25,2,Jul
Renee Coleman,IT,Software Engineer,Earned Leave,17/03/2024,17/03/2024,1,27,18,8,Mar
Joel Walker,HR,HR Manager,Casual Leave,24/08/2024,26/08/2024,3,20,7,10,Aug
Daniel Sanchez,Operations,Logistics Coordinator,Sick Leave,29/04/2024,30/04/2024,2,23,2,19,Apr
David Gonzalez,Operations,Operations Manager,Sick Leave,23/04/2024,1/05/2024,9,29,8,12,Apr
James Sanchez,HR,HR Manager,Sick Leave,29/09/2024,5/10/2024,7,27,0,20,Sep
Elizabeth Hebert,HR,Recruiter,Paternity Leave,19/01/2024,21/01/2024,3,29,16,10,Jan
Whitney Davis,Marketing,Marketing Specialist,Earned Leave,4/08/2024,5/08/2024,2,30,2,26,Aug
Kelly Adkins,Finance,Financial Analyst,Paternity Leave,16/07/2024,18/07/2024,3,25,3,19,Jul
Jessica Thomas,Finance,Accountant,Paternity Leave,24/02/2024,25/02/2024,2,25,22,1,Feb
Olivia Lopez,Operations,Operations Manager,Earned Leave,21/10/2024,29/10/2024,9,30,0,21,Oct
Robin Stephens,Marketing,Marketing Specialist,Maternity Leave,20/07/2024,26/07/2024,7,20,12,1,Jul
Meghan Mills,Operations,Logistics Coordinator,Casual Leave,22/03/2024,22/03/2024,1,29,10,18,Mar
Joshua Nelson,Operations,Logistics Coordinator,Maternity Leave,14/07/2024,16/07/2024,3,30,20,7,Jul
Richard Mcfarland,IT,Software Engineer,Casual Leave,30/11/2024,7/12/2024,8,23,3,12,Nov
Paula Marsh,Finance,Financial Analyst,Sick Leave,4/04/2024,12/04/2024,9,22,11,2,Apr
Kimberly Alexander,Operations,Operations Manager,Earned Leave,21/04/2024,23/04/2024,3,22,15,4,Apr
Michelle Lowe,Operations,Operations Manager,Earned Leave,20/06/2024,27/06/2024,8,26,1,17,Jun
Gerald Hoffman,HR,Recruiter,Casual Leave,1/04/2024,10/04/2024,10,26,5,11,Apr
Luis Watson,Marketing,SEO Analyst,Casual Leave,23/10/2024,24/10/2024,2,29,4,23,Oct
Marissa Richards,IT,Software Engineer,Sick Leave,19/11/2024,21/11/2024,3,24,19,2,Nov
Tracey Chase,IT,System Administrator,Paternity Leave,13/07/2024,21/07/2024,9,20,3,8,Jul
Paul Davis,Operations,Operations Manager,Earned Leave,30/01/2024,1/02/2024,3,21,18,0,Jan
Angel Goodman,HR,Recruiter,Sick Leave,29/09/2024,8/10/2024,10,23,2,11,Sep
Carolyn Adams,Marketing,SEO Analyst,Casual Leave,5/02/2024,9/02/2024,5,22,0,17,Feb
Leroy Berry,Operations,Logistics Coordinator,Sick Leave,2/02/2024,11/02/2024,10,30,1,19,Feb
Douglas Barber,HR,HR Manager,Earned Leave,9/04/2024,11/04/2024,3,21,10,8,Apr
Charles Buchanan,IT,System Administrator,Maternity Leave,12/07/2024,16/07/2024,5,26,16,5,Jul
Angela Morris,Finance,Financial Analyst,Casual Leave,19/12/2023,19/12/2023,1,28,27,0,Dec
Mrs. Carla Griffith,HR,HR Manager,Casual Leave,16/08/2024,18/08/2024,3,30,13,14,Aug
Theresa Garcia,Finance,Financial Analyst,Paternity Leave,26/02/2024,28/02/2024,3,30,20,7,Feb
Cynthia Thompson,IT,System Administrator,Earned Leave,18/01/2024,26/01/2024,9,25,15,1,Jan
Sherri Gordon,Finance,Financial Analyst,Casual Leave,30/07/2024,1/08/2024,3,20,17,0,Jul
Kim Ross,HR,Recruiter,Casual Leave,4/12/2024,11/12/2024,8,24,4,12,Dec
Kristina Porter,IT,Software Engineer,Paternity Leave,24/10/2024,30/10/2024,7,25,15,3,Oct
Carly Wilson,Finance,Financial Analyst,Maternity Leave,7/06/2024,8/06/2024,2,22,10,10,Jun
Brooke Hudson,Marketing,Marketing Specialist,Casual Leave,22/11/2024,24/11/2024,3,25,4,18,Nov
Sara Proctor,IT,Software Engineer,Earned Leave,7/06/2024,7/06/2024,1,24,1,22,Jun
Mrs. Catherine Dodson,Operations,Operations Manager,Paternity Leave,17/10/2024,23/10/2024,7,22,7,8,Oct
Amber Snyder,Finance,Accountant,Sick Leave,31/03/2024,1/04/2024,2,23,0,21,Mar
Michael Adkins,IT,Software Engineer,Paternity Leave,4/01/2024,4/01/2024,1,25,22,2,Jan
Kimberly Maxwell,Operations,Logistics Coordinator,Earned Leave,17/03/2024,21/03/2024,5,23,14,4,Mar
Doris Haney,HR,HR Manager,Earned Leave,1/09/2024,2/09/2024,2,24,15,7,Sep
Jeffrey Garrett,Finance,Accountant,Paternity Leave,16/06/2024,20/06/2024,5,20,15,0,Jun
Erin Sellers,IT,Software Engineer,Paternity Leave,8/05/2024,8/05/2024,1,21,4,16,May
Donna Thompson,Finance,Financial Analyst,Casual Leave,8/09/2024,13/09/2024,6,20,5,9,Sep
Mark Boyd,HR,Recruiter,Sick Leave,21/08/2024,23/08/2024,3,26,1,22,Aug
Janice Johnson,Finance,Accountant,Sick Leave,11/09/2024,20/09/2024,10,23,9,4,Sep
Kelly Adams,Operations,Operations Manager,Sick Leave,9/10/2024,16/10/2024,8,21,1,12,Oct
Leslie Barajas,HR,HR Manager,Casual Leave,16/03/2024,24/03/2024,9,23,13,1,Mar
Timothy Carter,Finance,Financial Analyst,Earned Leave,5/03/2024,7/03/2024,3,20,8,9,Mar
Raymond Fernandez,Operations,Operations Manager,Earned Leave,15/12/2024,18/12/2024,4,29,21,4,Dec
Sean Smith,IT,System Administrator,Sick Leave,1/07/2024,6/07/2024,6,25,9,10,Jul
Jeffery Jones,Finance,Financial Analyst,Casual Leave,14/01/2024,16/01/2024,3,24,20,1,Jan
Brett Knox,Operations,Operations Manager,Paternity Leave,17/04/2024,24/04/2024,8,27,5,14,Apr
Miranda Weaver,HR,Recruiter,Paternity Leave,22/12/2023,30/12/2023,9,28,4,15,Dec
Erik Morris,HR,Recruiter,Paternity Leave,13/04/2024,14/04/2024,2,26,24,0,Apr
Nicholas Berry,IT,System Administrator,Casual Leave,26/04/2024,27/04/2024,2,24,7,15,Apr
Jacob Gomez,Marketing,SEO Analyst,Casual Leave,23/03/2024,1/04/2024,10,26,3,13,Mar
Lisa Gibson,Operations,Operations Manager,Maternity Leave,29/06/2024,2/07/2024,4,29,18,7,Jun
Jacob Townsend,HR,HR Manager,Casual Leave,14/08/2024,15/08/2024,2,27,16,9,Aug
Joseph Hanna,Operations,Operations Manager,Sick Leave,28/08/2024,1/09/2024,5,22,6,11,Aug
Leah Wagner,HR,HR Manager,Paternity Leave,5/09/2024,12/09/2024,8,22,6,8,Sep
John Montgomery,Marketing,Marketing Specialist,Earned Leave,2/09/2024,11/09/2024,10,21,6,5,Sep
Ashley Humphrey,IT,Software Engineer,Earned Leave,7/02/2024,10/02/2024,4,29,9,16,Feb
Jason Carter,Finance,Financial Analyst,Sick Leave,6/12/2024,14/12/2024,9,23,6,8,Dec
Edward Bishop,Marketing,Marketing Specialist,Maternity Leave,22/11/2024,27/11/2024,6,29,1,22,Nov
Donna Wells,Operations,Logistics Coordinator,Earned Leave,13/11/2024,17/11/2024,5,30,15,10,Nov
Michael Merritt,HR,Recruiter,Paternity Leave,31/08/2024,1/09/2024,2,25,20,3,Aug
Lisa Jones,IT,Software Engineer,Maternity Leave,11/03/2024,17/03/2024,7,22,5,10,Mar
Jimmy Arnold,Operations,Logistics Coordinator,Sick Leave,24/07/2024,28/07/2024,5,27,17,5,Jul
Mr. Erik Meyer,Marketing,Marketing Specialist,Paternity Leave,26/02/2024,3/03/2024,7,22,6,9,Feb
Sean Williams,HR,Recruiter,Earned Leave,27/11/2024,29/11/2024,3,22,13,6,Nov
Stacey Obrien,Operations,Operations Manager,Sick Leave,30/10/2024,8/11/2024,10,24,1,13,Oct
Tonya Murray,Marketing,SEO Analyst,Sick Leave,1/04/2024,7/04/2024,7,29,18,4,Apr
Margaret Huber,Operations,Logistics Coordinator,Casual Leave,21/05/2024,26/05/2024,6,29,7,16,May
Vanessa Rogers,Operations,Logistics Coordinator,Paternity Leave,26/10/2024,3/11/2024,9,22,11,2,Oct
Tammy Pearson,IT,Software Engineer,Casual Leave,9/08/2024,12/08/2024,4,20,15,1,Aug
Shelly Wagner,Finance,Financial Analyst,Sick Leave,3/06/2024,10/06/2024,8,22,7,7,Jun
Heather Martin,IT,Software Engineer,Sick Leave,21/09/2024,24/09/2024,4,30,6,20,Sep
Alexandra Pitts,Marketing,Marketing Specialist,Sick Leave,27/06/2024,6/07/2024,10,28,2,16,Jun
Jared Anderson,Finance,Financial Analyst,Sick Leave,2/02/2024,7/02/2024,6,28,12,10,Feb
Paul Barry,Finance,Accountant,Earned Leave,8/06/2024,17/06/2024,10,29,8,11,Jun
Theresa Barber MD,HR,Recruiter,Paternity Leave,24/12/2023,30/12/2023,7,24,8,9,Dec
Corey Richmond,Operations,Logistics Coordinator,Maternity Leave,22/07/2024,26/07/2024,5,29,17,7,Jul
Donna Walsh,Finance,Accountant,Maternity Leave,2/04/2024,8/04/2024,7,22,3,12,Apr
April Fields,HR,Recruiter,Paternity Leave,23/12/2023,29/12/2023,7,28,7,14,Dec
Todd Vaughn,Marketing,Marketing Specialist,Sick Leave,28/03/2024,1/04/2024,5,26,13,8,Mar
James Oliver,Finance,Financial Analyst,Paternity Leave,18/06/2024,23/06/2024,6,29,13,10,Jun
Joseph Benson,IT,System Administrator,Paternity Leave,4/05/2024,10/05/2024,7,25,12,6,May
Paul Wade,IT,System Administrator,Paternity Leave,3/06/2024,7/06/2024,5,23,0,18,Jun
Anthony Walker,Marketing,Marketing Specialist,Casual Leave,26/01/2024,28/01/2024,3,24,6,15,Jan
John Francis,Operations,Operations Manager,Sick Leave,27/02/2024,5/03/2024,8,28,14,6,Feb
Kim Rodriguez,Marketing,SEO Analyst,Casual Leave,30/03/2024,5/04/2024,7,23,3,13,Mar
Elizabeth Hughes,Operations,Operations Manager,Paternity Leave,14/04/2024,17/04/2024,4,20,8,8,Apr
Peggy Trujillo,Operations,Operations Manager,Earned Leave,22/03/2024,26/03/2024,5,30,24,1,Mar
Kimberly Nichols,IT,System Administrator,Casual Leave,6/06/2024,10/06/2024,5,29,5,19,Jun
Christopher Henderson,IT,System Administrator,Maternity Leave,15/08/2024,18/08/2024,4,27,9,14,Aug
William Lopez,Finance,Financial Analyst,Earned Leave,16/01/2024,20/01/2024,5,20,11,4,Jan
Ruben Marshall,HR,HR Manager,Earned Leave,4/09/2024,7/09/2024,4,28,9,15,Sep
John Miller,Marketing,SEO Analyst,Maternity Leave,20/10/2024,21/10/2024,2,27,12,13,Oct
Thomas Daniels,HR,Recruiter,Maternity Leave,27/09/2024,1/10/2024,5,27,1,21,Sep
Henry Beck,Marketing,SEO Analyst,Sick Leave,4/05/2024,8/05/2024,5,20,3,12,May
Steven Thomas,Finance,Accountant,Sick Leave,22/08/2024,24/08/2024,3,22,6,13,Aug
Christina Moran,HR,HR Manager,Paternity Leave,8/10/2024,12/10/2024,5,21,6,10,Oct
Andrew Bolton,Operations,Operations Manager,Paternity Leave,27/11/2024,1/12/2024,5,30,10,15,Nov
Martin Townsend,HR,Recruiter,Casual Leave,7/08/2024,15/08/2024,9,26,10,7,Aug
Ashley Brewer,IT,Software Engineer,Sick Leave,31/03/2024,1/04/2024,2,29,18,9,Mar
Mrs. Melissa Bryant,IT,System Administrator,Maternity Leave,29/05/2024,3/06/2024,6,23,7,10,May
Bill Johnson,Finance,Financial Analyst,Paternity Leave,25/12/2023,30/12/2023,6,26,4,16,Dec
Christopher Ross,IT,System Administrator,Sick Leave,16/03/2024,21/03/2024,6,25,6,13,Mar
Danielle Hamilton,Finance,Accountant,Paternity Leave,12/09/2024,13/09/2024,2,27,18,7,Sep
Kayla Anderson,Finance,Financial Analyst,Earned Leave,6/03/2024,15/03/2024,10,29,3,16,Mar
Dr. Lisa Hamilton MD,Operations,Operations Manager,Casual Leave,26/12/2023,30/12/2023,5,20,9,6,Dec
Shelby Franklin,HR,HR Manager,Paternity Leave,24/05/2024,29/05/2024,6,24,4,14,May
Maxwell Gordon,Operations,Logistics Coordinator,Sick Leave,3/02/2024,11/02/2024,9,21,0,12,Feb
